,date,CM,WR,Temperature,Dew,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip,Condition,Total,holidays
0,2020-03-15 16:30:00,12,47,0.0,-8.88888888888889,0.51,NE,8.0,0 mph,29.6,0.0,Fair,59,0
1,2020-03-15 13:30:00,22,52,0.0,-8.88888888888889,0.51,NE,8.0,0 mph,29.6,0.0,Fair,74,0
2,2020-03-15 12:30:00,24,48,0.0,-8.88888888888889,0.51,NE,8.0,0 mph,29.6,0.0,Fair,72,0
3,2020-03-15 11:30:00,13,23,0.0,-8.88888888888889,0.51,NE,8.0,0 mph,29.6,0.0,Fair,36,0
4,2020-03-15 11:00:00,6,19,0.0,-8.88888888888889,0.51,NE,8.0,0 mph,29.6,0.0,Fair,25,0
5,2020-03-15 10:00:00,11,29,0.0,-10.0,0.48,NE,12.0,0 mph,29.59,0.0,Fair,40,0
6,2020-03-14 17:00:00,40,87,0.0,-2.7777777777777777,0.8,NNW,8.0,0 mph,29.43,0.0,Cloudy,127,0
7,2020-03-14 15:00:00,25,75,0.0,-3.888888888888889,0.75,NW,9.0,0 mph,29.46,0.0,Cloudy,100,0
8,2020-03-14 14:30:00,21,56,0.0,-2.7777777777777777,0.8,NNW,7.0,0 mph,29.46,0.0,Cloudy,77,0
9,2020-03-14 14:00:00,21,63,0.0,-2.7777777777777777,0.8,NNW,7.0,0 mph,29.46,0.0,Cloudy,84,0
10,2020-03-14 13:30:00,17,61,0.0,-5.0,0.69,NNW,15.0,0 mph,29.42,0.0,Cloudy,78,0
11,2020-03-14 12:30:00,19,54,0.0,-5.0,0.69,NNW,15.0,0 mph,29.42,0.0,Cloudy,73,0
12,2020-03-14 12:30:00,20,57,0.0,-5.0,0.69,NNW,15.0,0 mph,29.42,0.0,Cloudy,77,0
13,2020-03-14 11:30:00,26,58,0.0,-5.0,0.69,NNW,15.0,0 mph,29.42,0.0,Cloudy,84,0
14,2020-03-14 10:00:00,16,42,0.0,-5.0,0.69,NNW,15.0,0 mph,29.42,0.0,Cloudy,58,0
15,2020-03-13 16:30:00,23,102,5.0,-3.888888888888889,0.53,WNW,14.0,31 mph,29.03,0.0,Mostly Cloudy,125,0
16,2020-03-13 16:00:00,25,103,5.0,-3.888888888888889,0.53,WNW,14.0,31 mph,29.03,0.0,Mostly Cloudy,128,0
17,2020-03-13 14:30:00,19,93,5.0,-5.0,0.49,W,24.0,33 mph,28.99,0.0,Mostly Cloudy / Windy,112,0
18,2020-03-13 14:00:00,27,73,5.0,-5.0,0.49,W,24.0,33 mph,28.99,0.0,Mostly Cloudy / Windy,100,0
19,2020-03-13 11:30:00,27,50,3.888888888888889,-1.1111111111111112,0.7,W,15.0,25 mph,28.8,0.0,Cloudy,77,0
20,2020-03-13 10:30:00,24,34,3.888888888888889,-1.1111111111111112,0.7,W,15.0,25 mph,28.8,0.0,Cloudy,58,0
21,2020-03-13 09:30:00,18,38,3.888888888888889,-1.1111111111111112,0.7,W,15.0,25 mph,28.8,0.0,Cloudy,56,0
22,2020-03-13 09:00:00,12,35,3.888888888888889,-1.1111111111111112,0.7,W,15.0,25 mph,28.8,0.0,Cloudy,47,0
23,2020-03-13 07:30:00,5,25,5.0,2.2222222222222223,0.81,WNW,18.0,37 mph,28.7,0.0,Cloudy,30,0
24,2020-03-13 07:00:00,8,18,5.0,2.2222222222222223,0.81,WNW,18.0,37 mph,28.7,0.0,Cloudy,26,0
25,2020-03-13 06:30:00,5,18,7.222222222222222,3.888888888888889,0.81,E,12.0,0 mph,28.8,0.0,Cloudy,23,0
26,2020-03-12 20:00:00,14,66,7.222222222222222,3.888888888888889,0.81,E,12.0,0 mph,28.8,0.0,Cloudy,80,0
